latitude,longitude,mag
42.842,-111.054,3.2
36.86,-97.6931,2.5
33.1496667,-115.6406667,2.88
36.3846667,-120.9606667,2.53
38.1565,-117.9496,2.6
38.017,-112.5165,2.96
48.1395,-122.7545,2.8
36.6381667,-121.2511667,3.7
37.4788333,-118.348,2.81
34.619,-116.657,2.95
36.9213333,-121.6491667,4.3
35.433,-96.567,2.8
32.1183333,-115.8225,2.95
36.9679,-104.8659,2.6
35.6511667,-117.4393333,2.75
35.8163333,-117.7491667,2.57
35.028,-116.964,2.68
36.5804,-97.6641,2.5
33.713,-119.148,2.53
34.1916667,-119.5841667,3.15
33.1016667,-116.0076667,3.22
28.849,-98.137,2.8
31.25,-115.7,4.5
38.8358333,-122.8025,2.78
36.8388,-97.7889,2.6
37.4848333,-118.8393333,2.52
34.1828333,-117.4793333,3.14
49.001,-112.611,3.4
34.038,-118.888,2.51
36.35683333,-97.36266667,2.78
41.2443333,-124.2225,4.25
35.7855,-116.7815,2.6
40.324,-124.4436667,2.5
36.1856667,-118.0661667,2.83
41.406,-121.912,3.5
31.6076667,-115.6905,4.32
37.5366667,-118.8698333,3.42
33.7155,-118.2308333,3.01
31.675,-104.192,2.5
31.68150851,-104.4194605,2.8
34.012,-116.311,2.8
47.6925,-120.8488333,2.6
38.1615,-117.8448,2.6
37.383,-118.4008333,2.7
34.9856667,-116.9563333,2.77
32.9543333,-115.5581667,2.58
35.8985,-117.7061667,2.53
35.6258333,-90.5526667,2.5
35.5478,-97.2421,2.7
35.9561667,-117.281,3.01
33.234,-115.558,2.5
36.6541667,-121.2796667,2.54
37.4098333,-121.7553333,3.1
35.8177,-97.4299,2.9
39.0541667,-123.3468333,3.15
31.61,-103.976,2.9
32.073,-115.482,3.78
34.135,-117.712,2.54
37.2425,-122.0256667,3.13
33.895,-116.164,2.88
36.0226667,-117.8926667,2.8
35.8656667,-117.741,2.6
32.48,-96.887,2.5
38.0295,-118.4531667,3.73
37.4825,-118.9505,3.32
38.5396667,-122.1816667,2.57
31.72274693,-103.9814186,2.5
43.76,-105.229,3.6
40.3718333,-122.177,2.97
32.7676667,-115.4406667,3.17
42.6571,-111.4319,2.9
38.4968333,-119.5348333,2.98
35.0,-116.949,3.37
45.9923333,-118.4971667,2.7
35.5888333,-116.3136667,2.54
38.1698,-117.8525,3.2
38.1706,-117.8386,3.1
37.4631667,-118.5911667,3.16
31.914,-114.787,3.28
33.7041667,-117.9591667,2.99
45.1775,-120.0771667,2.9
38.7751667,-122.7136667,2.96
34.3496667,-118.3375,3.48
33.263,-116.08,2.62
33.968,-117.175,2.58
35.5296667,-120.9126667,4.07
32.6028333,-115.7588333,2.86
32.637,-115.719,2.5
36.216,-112.47,3.3
31.1755,-103.2621,2.5
41.138,-124.5923333,4.0
36.4643,-98.7595,2.8
37.504,-118.8816667,3.3
34.216,-116.804,2.56
35.8184,-97.4281,2.7
37.309,-114.6519,3.5
35.7833333,-117.5936667,2.96
40.3983333,-124.8993333,3.19
33.3296667,-115.7428333,3.11
36.62,-121.2283333,2.85
35.0833333,-119.0816667,2.85
41.5885,-112.427666666667,2.83
38.7586667,-122.7311667,2.55
43.29,-110.68,3.3
33.19,-115.609,3.1
47.186,-112.924,3.4
40.2268333,-124.155,2.7
32.169,-115.4376667,2.71
36.547,-121.1623333,3.1
33.2475,-116.1501667,3.29
44.393,-114.505,3.3
35.788,-96.9872,3.5
32.0453333,-115.2271667,2.65
39.4173333,-120.6768333,2.72
46.8795,-112.6681,3.2
33.8406667,-118.1008333,3.69
39.071,-115.646,3.0
36.743,-116.215,3.4
38.8215,-122.761,2.59
35.697,-121.1428333,2.8
32.6483333,-115.758,2.74
37.4418333,-118.6416667,3.16
35.8973333,-117.6995,3.02
38.2599,-117.9076,3.8
36.5064,-99.0302,2.7
41.8743333,-112.7255,3.06
32.762,-116.656,2.72
40.3128333333333,-124.6355,2.86
35.9783333,-121.0445,2.56
35.3311667,-118.6695,2.99
41.8746,-119.6431,2.6
34.569,-116.266,2.54
34.365,-118.604,2.59
33.685,-120.084,3.24
42.2745,-121.9155,2.7
32.0488333,-115.075,3.0
34.316,-118.561,2.56
31.6019,-104.2184,3.1
31.61160046,-103.9577843,2.5
34.0025,-116.3621667,3.28
39.2703333,-122.7556667,3.23
39.3743333,-123.2706667,2.91
34.3643333,-116.892,3.09
35.704,-117.4935,2.58
40.4041667,-124.9838333,2.54
38.7923333,-122.7683333,2.63
40.3558333,-124.4801667,2.95
32.319,-115.216,2.7
44.3417,-115.183,3.1
36.9295,-98.0248,2.8
31.8073333,-116.0638333,2.54
37.1662,-117.3771,3.9
38.1468,-118.003,2.6
33.425,-118.916,2.53
31.339,-114.306,4.2
43.813,-105.241,3.0
32.2085,-115.2053333,2.93
38.7996667,-122.813,2.53
34.2321667,-117.174,2.74
36.238,-120.2678333,2.75
33.8298333,-115.8226667,3.3
36.9293333,-121.4588333,3.29
42.0288333,-111.4498333,3.49
31.6885,-115.989,2.51
34.3545,-118.3781667,2.51
36.4558,-96.872,2.6
38.7976667,-122.778,3.1
34.559,-116.529,2.55
34.021,-116.093,3.96
40.3255,-124.591,3.07
33.7835,-118.0351667,2.62
33.953,-116.311,3.22
31.887,-115.703,3.03
37.3211667,-122.1068333,3.1
32.052,-116.286,2.6
35.721,-97.4311,3.2
35.9631,-97.4023,2.6
31.795,-116.123,2.99
34.795,-116.309,3.23
36.8174,-97.7121,2.9
32.2783333,-118.0635,2.97
40.0765,-123.6821667,2.67
32.4603333,-115.1706667,2.68
33.0435,-116.026,3.62
38.168,-118.0711,2.5
27.475,-111.45,4.0
32.987,-115.806,2.53
35.9711667,-120.5215,3.49
34.047,-116.342,2.62
32.947,-109.309,2.5
37.43,-117.15,3.2
38.7956667,-122.8261667,2.77
33.041,-115.5826667,2.58
33.774,-116.153,2.71
34.976,-116.941,3.09
36.6156,-98.4113,2.9
36.0325,-117.7685,2.58
39.7,-119.8,4.5
34.067,-116.361,2.55
32.2406667,-115.225,3.17
38.1707,-118.0838,3.2
45.77,-112.24,2.9
44.2896,-115.1804,2.6
35.5501667,-92.5638333,2.8
38.8008333,-119.7253333,3.23
35.727,-118.461,2.7
37.6425,-118.8473333,3.23
34.581,-116.611,2.52
35.5586667,-121.2916667,2.54
38.0455,-97.9666,2.8
33.0681667,-116.0301667,3.15
46.1971667,-122.1901667,3.0
34.416,-118.37,3.38
33.218,-115.9865,3.33
37.7855,-121.9651667,2.53
32.0788333,-115.1236667,3.24
37.546,-118.85,3.28
36.958,-104.856,2.8
29.001,-98.029,2.5
40.4256667,-124.2636667,3.4
37.3843333,-118.5868333,4.5
33.9485,-116.3758333,2.91
34.0105,-116.4458333,2.51
31.713,-115.984,3.14
35.264,-118.6173333,2.86
38.1642,-118.0772,2.7
32.2593333,-115.281,3.09
